大事	だいじ, おおごと	important; valuable; serious matter
金曜日	きんようび	[advn.; tempn.] Friday
仕事	しごと	[n.; suru; no-n.] work; job; business; occupation; employment; vocation; task // [n.] work
会社	かいしゃ	[n.] company; corporation // [n.] workplace
旅行	りょこう	[n.; suru; no-n.] travel; trip
お金	おかね	[n.; teineigo] money
元気	げんき	[adjn..; n.] lively; full of spirit; energetic; vigorous; vital; spirited // [n.] healthy; well; fit; in good health
来年	らいねん	[advn.; tempn.] next year
最後	さいご	[n.; no-n.] last; end; conclusion; latest; most recent // [phrase] no sooner than; right after (often having negative consequences) // [arch.] one's final moments
違う	ちがう	[v5u.; vi.] to differ (from); to vary // [n.] to not be in the usual condition // [n.] to not match the correct (answer, etc.) // [n.] to be different from promised // [n.] isn't it?; wasn't it?
売る	うる	[v5ru.; vt.] to sell
呼ぶ	よぶ	[v5bu.; vt.] to call out (to); to call; to invoke // [n.] to summon (a doctor, etc.) // [n.] to invite // [n.] to designate; to name; to brand // [n.] to garner (support, etc.); to gather // [arch.] to take as one's wife
働く	はたらく	[v5ku.; vi.] to work; to labor; to labour // [n.] to function; to operate; to be effective; to work (i.e. ... works); to come into play // [n.] to commit (e.g. a crime); to perpetrate; to do; to act; to practise; to practice // [n.] to be conjugated
早い	はやい	[adj.] fast; quick; hasty; brisk // [n.] early (in the day, etc.); premature // [n.] (too) soon; not yet; (too) early // [n.] easy; simple; quick
帰る	かえる	[v5ru.; vi.] to return; to come home; to go home; to go back // [n.] to leave // [n.] to get home; to get to home plate
香川県	かがわけん	[n.] Kagawa prefecture (Shikoku)
正月	しょうがつ	[n.] New Year (esp. first three days) // [n.] the first month of the year; January
年明け	ねんあけ,としあけ	[n.] beginning of the year; early in the New Year // [n.] expiration of a term of service
有名	ゆうめい	[adjn..] famous // [n.] fame
明ける	あける	[v1.; vt.] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock // [n.] to open (for business, etc.) // [n.] to empty; to remove; to make space; to make room // [n.] to move out; to clear out // [n.] to be away from (e.g. one's house); to leave (temporarily) // [v1.; vi.] to dawn; to grow light // [n.] to end (of a period, season) // [n.] to begin (of the New Year) // [n.] to leave (one's schedule) open; to make time (for) // [n.] to make (a hole); to open up (a hole)
知る	しる	[v5ru.; vt.] to be aware of; to know; to be conscious of; to cognize; to cognise // [n.] to notice; to feel // [n.] to understand; to comprehend; to grasp // [n.] to remember; to be acquainted with (a procedure) // [n.] to experience; to go through; to learn // [n.] to be acquainted with (a person); to get to know // [n.] to concern
始まる	はじまる	[v5ru.; vi.] to begin; to start; to commence // [n.] to happen (again); to begin (anew) // [n.] to date (from); to originate (in)
朝	あさ,あした	[advn.; tempn.] morning
太陽	たいよう	[n.] sun; solar
昇る	のぼる	[v5ru.; vi.] to ascend; to go up; to climb // [n.] to ascend (as a natural process, e.g. the sun); to rise // [n.] to go to (the capital) // [n.] to be promoted // [n.] to add up to // [n.] to advance (in price) // [n.] to swim up (a river); to sail up // [n.] to come up (on the agenda)
初日の出	はつひので	[phrase] first sunrise (of New Year)
赤い	あかい	[adj.] red // [n.] Red (i.e. communist)
色	いろ	[n.] colour; color // [n.] complexion // [n.] appearance; look // [n.] love; lust; sensuality; love affair; lover // [n.] kind; type; variety
食べ物	たべもの	[n.] food
長崎	ながさき,ナガサキ	[n.] Nagasaki (city) // [n.] atomic bombing of Nagasaki
長崎県	ながさきけん	[n.] Nagasaki prefecture (Kyushu)
梅干し	うめぼし	[n.] umeboshi; pickled ume; pickled plum
麺	めん	[n.] noodles // [arch.] flour
白い	しろい	[adj.] white
入る	はいる	[v5ru.; vi.] to enter; to go into // [n.] to break into // [n.] to join; to enroll // [n.] to contain; to hold; to accommodate // [n.] to have (an income of) // [n.] to get; to receive; to score
漢字	かんじ	[n.] Chinese characters; kanji
万	まん,よろず	[num.] 10,000; ten thousand // [n.; no-n.] myriad // [advn.] everything; all // [n.; no-n.; arch.] various
中	なか	[n.] inside; in // [n.] among; within // [n.] center (centre); middle // [n.] during; while
中	ちゅう	[n.; pref.; suffix] medium; average; middle // [n.] moderation // [abbr.] middle school // [abbr.] China // [abbr.] volume two (of three) // [sufn.] during (a certain time when one did or is doing something); under (construction, etc.); while // [n.] in; out of (e.g. three out of ten people)
中	じゅう,ぢゅう	[suffix] through; throughout; in the course of // [n.] all over or throughout (e.g. a place)
番	ばん	[n.] number (in a series) // [n.] (one's) turn // [n.] watch; guard; lookout // [n.] bout; match
大きな	おおきな	[pren.] big; large; great
紙	かみ	[n.] paper
筆	ふで	[n.] writing brush
日本人	にほんじん,にっぽんじん	[n.] Japanese person; Japanese people
金メダル	きんメダル	[n.] gold medal
取る	とる	[v5ru.; vt.] to take; to pick up; to harvest; to earn; to win; to choose // [n.] to steal // [n.] to eat; to have (a meal) // [n.] to remove (one's glasses, etc.) // [n.] to compete (in sumo, cards, etc.); to play
東京	とうきょう	[n.] Tokyo
知事	ちじ	[n.; no-n.] prefectural governor
階段	かいだん	[n.] stairs; stairway; staircase
非常階段	ひじょうかいだん	[n.] emergency staircase; emergency stairs
今世界	こんせかい	[n.] this world
階	かい	[n.; sufn.] storey; story; floor // [n.] stairs // [n.; sufn.] stage (in chronostratigraphy) // [cnt.] counter for storeys and floors of a building
展望	てんぼう	[n.; suru] view; outlook; prospect
台	だい	[n.; sufn.] stand; rack; table // [n.] support // [n.] belt // [cnt.] counter for machines, incl. vehicles // [n.] setting (e.g. in jewellery) // [n.; sufn.; cnt.] level (e.g. price level); range (e.g. after physical units); period (of time, e.g. a decade of one's life)
展望台	てんぼうだい	[n.] viewing platform
屋上	おくじょう	[n.] rooftop
冷たい	つめたい,つべたい	[adj.] cold (to the touch); chilly; icy; freezing // [n.] coldhearted; unfeeling
体	からだ,しんたい,しんだい,しんてい	[n.; no-n.] body // [n.] torso; trunk // [n.] build; physique; constitution // [n.; no-n.] health // [n.] corpse; dead body
大変	たいへん	[adv.] very; greatly // [adjn..; n.] immense; enormous; great // [n.] serious; grave; dreadful; terrible // [n.] difficult; hard // [arch.] major incident; disaster
レジ		[n.; abbr.] (cash) register // [abbr.] cashier
電化	でんか	[n.; suru] electrification
電化製品	でんかせいひん	[n.] electrical appliances; electric appliances
一緒	いっしょ	[advn.; n.; no-n.] together // [n.] at the same time // [n.] same; identical
欲しい	ほしい	[adj.] wanted; wished for; in need of; desired // [auxadj.; us. kana] I want (you) to
籠	かご,カゴ	[n.; us. kana] basket (shopping, etc.); hamper; cage
読む	よむ	[v5mu.; vt.] to read // [n.] to count // [n.] to guess; to predict; to read (someone's thoughts); to see (e.g. into someone's heart); to divine
持っていく	もっていく,もってゆく	[phrase; v5iku.] to take; to carry (something) away; to bear
幾ら	いくら	[adv.; n.; us. kana] how much?; how many? // [adv.] even; even if
画面	がめん	[n.] terminal screen; scene; picture; the field (in TV); photo
出る	でる	[v1.; vi.] to leave; to exit; to go out; to come out; to get out // [n.] to leave (on a journey); to depart; to start out; to set out // [n.] to move forward // [n.] to come to; to get to; to lead to; to reach // [n.] to appear; to come out; to emerge; to surface; to come forth; to turn up; to be found; to be detected; to be discovered; to be exposed; to show; to be exhibited; to be on display // [n.] to appear (in print); to be published; to be announced; to be issued; to be listed; to come out // [n.] to attend; to participate; to take part; to enter (an event); to play in; to perform // [n.] to be stated; to be expressed; to come up; to be brought up; to be raised // [n.] to sell // [n.] to exceed; to go over // [n.] to stick out; to protrude // [n.] to break out; to occur; to start; to originate // [n.] to be produced // [n.] to come from; to be derived from // [n.] to be given; to get; to receive; to be offered; to be provided; to be presented; to be submitted; to be handed in; to be turned in; to be paid // [n.] to answer (phone, door, etc.); to get // [n.] to assume (an attitude); to act; to behave // [n.] to pick up (speed, etc.); to gain // [n.] to flow (e.g. tears); to run; to bleed // [n.] to graduate
出てくる	でてくる	[vkuru.] to come out; to appear; to turn up; to emerge
底	そこ	[n.] bottom; sole
底	てい,そこ	[n.] base (logarithmic, exponential, number system); radix // [n.] base (triangle, cone, cylinder, etc.) // [arch.] type; kind; extent; degree
下	した	[n.] below; down; under; younger (e.g. daughter) // [n.] bottom // [n.] beneath; underneath // [n.] just after; right after // [n.; no-n.] inferiority; one's inferior (i.e. one's junior) // [n.] trade-in // [prefn.] preliminary; preparatory
下	もと	[adv.] under (esp. influence or guidance)
中国	ちゅうごく	[n.] China // [abbr.] Chugoku region of western Honshu (incl. Okayama, Hiroshima, Shimane, Tottori and Yamaguchi prefectures) // [n.] central part of a country; main region
エレベーター	エレベーター,エレベータ	[n.] elevator; lift // [n.] elevator (aviation)
広州	こうしゅう,コアンチョウ,コワンチョウ	[n.] Guangzhou (China); Kwangchow; Canton
とても	とても,とっても	[adv.; us. kana] very; awfully; exceedingly // [us. kana] (not) at all; by no means; simply (cannot)
上海	シャンハイ	[n.] Shanghai (China)
注文	ちゅうもん	[n.; suru; no-n.] order; request
日夜	にちや	[advn.; n.] day and night; always
東	ひがし,ひむかし,ひんがし	[n.] east
海	うみ	[n.] sea; ocean
飛ぶ	とぶ	[v5bu.; vi.] to fly; to soar // [n.] to jump; to leap; to spring; to bound; to hop
悪い	わるい	[adj.] bad; poor; inferior // [n.] evil; sinful // [n.] unprofitable; unbeneficial // [n.] at fault; to blame; in the wrong // [n.] sorry
調子が悪い	ちょうしがわるい	[phrase; adj.] in bad shape; not doing well; not going well; out of condition; in poor form
急ぐ	いそぐ	[v5gu.; vi.; vt.] to hurry; to rush; to hasten; to make something happen sooner
上下	じょうげ	[n.] top and bottom; high and low; above and below; upper and lower ends; up and down // [n.; suru] going up and down; rising and falling; fluctuating // [n.] going and coming back // [n.] upper and lower classes; ruler and ruled; the government and the people // [n.] first and second volumes
飛行機	ひこうき	[n.] aeroplane; airplane; aircraft
訓練	くんれん	[n.; suru] practice; practising; training
何	なに,なん	[pron.; no-n.] what // [pref.] how many // [n.] you-know-what; that // [phrase] whatsit; what's the expression; what do you call them // [interj.] what? // [n.] hey!
度	ど	[n.; sufn.] degree (angle, temperature, scale, etc.) // [cnt.] counter for occurrences and times // [n.] strength (of alcohol)
何度	なんど	[n.] how many times?; how often?
近く	ちかく	[advn.; n.] near; neighbourhood; neighborhood; vicinity // [sufn.] nearly (e.g. "it took nearly one year"); close to // [adv.] shortly; soon
千葉	ちば	[n.] Chiba (city)
お参り	おまいり	[n.; suru] worship; shrine visit
気持ちよい	きもちよい	[phrase; adj.] good feeling; feeling good
お坊さん	おぼうさん	[n.; fam.; sonkeigo] Buddhist priest; monk // [fam.; sonkeigo] son (of others)
磨く	みがく	[v5ku.; vt.] to polish; to shine; to brush (e.g. teeth) // [n.] to refine; to improve
天井	てんじょう	[n.] ceiling; ceiling price
竹	たけ	[n.] bamboo // [n.] middle (of a three-tier ranking system)
部屋	へや	[n.] room; chamber // [n.] apartment; flat; pad // [abbr.] stable
敷く	しく	[v5ku.] to spread out; to lay out // [n.] to take a position // [n.] to impose widely (e.g. over a city)
枚	まい	[cnt.] counter for flat objects (e.g. sheets of paper)
畳	じょう	[cnt.] counter for tatami mats // [n.] measure of room size (in mat units)
